Date + hour (YYYYMMDDHH),Views
"Apr 21, 2025, 11PM",2
"Apr 22, 2025, 7AM",3
"Apr 22, 2025, 9AM",6
"Apr 22, 2025, 10AM",3
"Apr 22, 2025, 11AM",3
"Apr 22, 2025, 12PM",0
"Apr 22, 2025, 1PM",1
"Apr 22, 2025, 2PM",9
"Apr 22, 2025, 3PM",10
"Apr 22, 2025, 4PM",4
"Apr 22, 2025, 5PM",11
"Apr 22, 2025, 6PM",7
"Apr 22, 2025, 7PM",2
"Apr 22, 2025, 8PM",13
"Apr 22, 2025, 9PM",4
"Apr 22, 2025, 10PM",4
"Apr 22, 2025, 11PM",4
"Apr 23, 2025, 1AM",1
"Apr 23, 2025, 2AM",2
"Apr 23, 2025, 8AM",2
"Apr 23, 2025, 9AM",2
"Apr 23, 2025, 10AM",1
"Apr 23, 2025, 11AM",4
"Apr 23, 2025, 12PM",12
"Apr 23, 2025, 1PM",5
"Apr 23, 2025, 3PM",2
"Apr 23, 2025, 9PM",5
"Apr 24, 2025, 7AM",1
"Apr 24, 2025, 8AM",5
"Apr 24, 2025, 9AM",5
"Apr 24, 2025, 10AM",9
"Apr 24, 2025, 11AM",1
"Apr 24, 2025, 12PM",12
"Apr 24, 2025, 1PM",4
"Apr 24, 2025, 3PM",8
"Apr 24, 2025, 4PM",3
"Apr 24, 2025, 5PM",1
"Apr 24, 2025, 6PM",1
"Apr 24, 2025, 7PM",4
"Apr 24, 2025, 9PM",7
"Apr 24, 2025, 10PM",7
"Apr 25, 2025, 12AM",3
"Apr 25, 2025, 1AM",5
"Apr 25, 2025, 2AM",4
"Apr 25, 2025, 12PM",5
"Apr 25, 2025, 5PM",2
"Apr 25, 2025, 6PM",1
"Apr 25, 2025, 7PM",2
"Apr 25, 2025, 9PM",2
"Apr 25, 2025, 11PM",7
"Apr 26, 2025, 12AM",3
"Apr 26, 2025, 1AM",1
"Apr 26, 2025, 6AM",1
"Apr 26, 2025, 7AM",4
"Apr 26, 2025, 10AM",5
"Apr 26, 2025, 11AM",3
"Apr 26, 2025, 12PM",3
"Apr 26, 2025, 3PM",1
"Apr 26, 2025, 4PM",3
"Apr 26, 2025, 5PM",2
"Apr 26, 2025, 6PM",2
"Apr 26, 2025, 7PM",7
"Apr 26, 2025, 9PM",4
"Apr 26, 2025, 10PM",6
"Apr 26, 2025, 11PM",1
"Apr 27, 2025, 12AM",2
"Apr 27, 2025, 7AM",4
"Apr 27, 2025, 8AM",1
"Apr 27, 2025, 9AM",1
"Apr 27, 2025, 10AM",4
"Apr 27, 2025, 2PM",9
"Apr 27, 2025, 3PM",6
"Apr 27, 2025, 4PM",5
"Apr 27, 2025, 8PM",1
"Apr 27, 2025, 10PM",1
"Apr 27, 2025, 11PM",7
"Apr 28, 2025, 4AM",4
"Apr 28, 2025, 7AM",1
"Apr 28, 2025, 8AM",2
"Apr 28, 2025, 9AM",3
"Apr 28, 2025, 11AM",6
"Apr 28, 2025, 12PM",1
"Apr 28, 2025, 9PM",1
"Apr 29, 2025, 8AM",2
"Apr 29, 2025, 10AM",1
"Apr 29, 2025, 11AM",6
"Apr 29, 2025, 12PM",1
"Apr 29, 2025, 1PM",4
"Apr 29, 2025, 2PM",6
"Apr 29, 2025, 3PM",5
"Apr 29, 2025, 4PM",1
"Apr 29, 2025, 5PM",2
"Apr 29, 2025, 6PM",8
"Apr 29, 2025, 7PM",8
"Apr 29, 2025, 9PM",2
"Apr 29, 2025, 10PM",3
"Apr 30, 2025, 2AM",1
"Apr 30, 2025, 7AM",2
"Apr 30, 2025, 8AM",2
"Apr 30, 2025, 9AM",6
"Apr 30, 2025, 10AM",3
"Apr 30, 2025, 11AM",3
"Apr 30, 2025, 1PM",2
"Apr 30, 2025, 2PM",0
"Apr 30, 2025, 3PM",3
"Apr 30, 2025, 4PM",2
"Apr 30, 2025, 5PM",1
"Apr 30, 2025, 6PM",1
"Apr 30, 2025, 7PM",3
"Apr 30, 2025, 8PM",2
"Apr 30, 2025, 9PM",1
"Apr 30, 2025, 11PM",1
"May 1, 2025, 9AM",2
"May 1, 2025, 10AM",9
"May 1, 2025, 11AM",1
"May 1, 2025, 12PM",1
"May 1, 2025, 1PM",3
"May 1, 2025, 2PM",1
"May 1, 2025, 4PM",3
"May 1, 2025, 7PM",7
"May 1, 2025, 8PM",8
"May 1, 2025, 9PM",6
"May 1, 2025, 11PM",2
"May 2, 2025, 9AM",2
"May 2, 2025, 10AM",2
"May 2, 2025, 11AM",2
"May 2, 2025, 12PM",4
"May 2, 2025, 1PM",5
"May 2, 2025, 3PM",3
"May 2, 2025, 4PM",0
"May 2, 2025, 5PM",4
"May 2, 2025, 6PM",7
"May 2, 2025, 7PM",1
"May 2, 2025, 8PM",1
"May 2, 2025, 9PM",6
"May 2, 2025, 11PM",2
"May 3, 2025, 12AM",2
"May 3, 2025, 1AM",0
"May 3, 2025, 8AM",5
"May 3, 2025, 11AM",3
"May 3, 2025, 12PM",2
"May 3, 2025, 4PM",4
"May 3, 2025, 6PM",3
"May 3, 2025, 10PM",1
"May 4, 2025, 3AM",1
"May 4, 2025, 11AM",1
"May 4, 2025, 1PM",2
"May 4, 2025, 2PM",8
"May 4, 2025, 3PM",5
"May 4, 2025, 4PM",3
"May 4, 2025, 6PM",4
"May 4, 2025, 8PM",2
"May 4, 2025, 9PM",3
"May 5, 2025, 12AM",3
"May 5, 2025, 9AM",1
"May 5, 2025, 10AM",2
"May 5, 2025, 12PM",6
"May 5, 2025, 1PM",3
"May 5, 2025, 3PM",2
"May 5, 2025, 5PM",3
"May 5, 2025, 6PM",0
"May 5, 2025, 7PM",8
"May 5, 2025, 10PM",1
"May 6, 2025, 8AM",2
"May 6, 2025, 9AM",1
"May 6, 2025, 12PM",5
"May 6, 2025, 1PM",5
"May 6, 2025, 2PM",2
"May 6, 2025, 4PM",12
"May 6, 2025, 5PM",3
"May 6, 2025, 6PM",2
"May 6, 2025, 8PM",3
"May 6, 2025, 10PM",10
"May 7, 2025, 3AM",1
"May 7, 2025, 9AM",3
"May 7, 2025, 10AM",3
"May 7, 2025, 11AM",16
"May 7, 2025, 12PM",6
"May 7, 2025, 1PM",5
"May 7, 2025, 2PM",3
"May 7, 2025, 3PM",1
"May 7, 2025, 4PM",6
"May 7, 2025, 5PM",8
"May 7, 2025, 6PM",1
"May 7, 2025, 7PM",1
"May 7, 2025, 8PM",8
"May 8, 2025, 7AM",1
"May 8, 2025, 8AM",0
"May 8, 2025, 9AM",7
"May 8, 2025, 10AM",0
"May 8, 2025, 11AM",2
"May 8, 2025, 12PM",6
"May 8, 2025, 1PM",5
"May 8, 2025, 2PM",5
"May 8, 2025, 3PM",2
"May 8, 2025, 5PM",6
"May 8, 2025, 6PM",1
"May 8, 2025, 7PM",10
"May 8, 2025, 8PM",5
"May 8, 2025, 9PM",3
"May 9, 2025, 12AM",4
"May 9, 2025, 8AM",1
"May 9, 2025, 9AM",2
"May 9, 2025, 10AM",6
"May 9, 2025, 11AM",9
"May 9, 2025, 12PM",5
"May 9, 2025, 2PM",13
"May 9, 2025, 3PM",4
"May 9, 2025, 5PM",4
"May 9, 2025, 6PM",5
"May 9, 2025, 8PM",3
"May 9, 2025, 11PM",1
"May 10, 2025, 9AM",5
"May 10, 2025, 10AM",1
"May 10, 2025, 12PM",2
"May 10, 2025, 1PM",3
"May 10, 2025, 4PM",1
"May 10, 2025, 5PM",1
"May 10, 2025, 7PM",2
"May 10, 2025, 9PM",1
"May 11, 2025, 9AM",2
"May 11, 2025, 2PM",1
"May 11, 2025, 5PM",2
"May 11, 2025, 8PM",9
"May 12, 2025, 8AM",2
"May 12, 2025, 12PM",3
"May 12, 2025, 2PM",5
"May 12, 2025, 3PM",7
"May 12, 2025, 4PM",5
"May 12, 2025, 6PM",2
"May 12, 2025, 7PM",0
"May 12, 2025, 10PM",6
"May 12, 2025, 11PM",2
"May 13, 2025, 4AM",2
"May 13, 2025, 8AM",4
"May 13, 2025, 9AM",3
"May 13, 2025, 10AM",10
"May 13, 2025, 12PM",8
"May 13, 2025, 1PM",2
"May 13, 2025, 2PM",3
"May 13, 2025, 3PM",6
"May 13, 2025, 4PM",1
"May 13, 2025, 5PM",6
"May 13, 2025, 6PM",2
"May 13, 2025, 8PM",4
"May 13, 2025, 9PM",4
"May 13, 2025, 10PM",1
"May 13, 2025, 11PM",2
"May 14, 2025, 3AM",1
"May 14, 2025, 9AM",6
"May 14, 2025, 10AM",5
"May 14, 2025, 11AM",10
"May 14, 2025, 12PM",7
"May 14, 2025, 2PM",3
"May 14, 2025, 5PM",1
"May 14, 2025, 6PM",8
"May 14, 2025, 7PM",0
"May 14, 2025, 8PM",1
"May 14, 2025, 9PM",1
"May 14, 2025, 10PM",1
"May 15, 2025, 12AM",1
"May 15, 2025, 7AM",1
"May 15, 2025, 9AM",7
"May 15, 2025, 11AM",4
"May 15, 2025, 12PM",10
"May 15, 2025, 1PM",2
"May 15, 2025, 3PM",1
"May 15, 2025, 4PM",3
"May 15, 2025, 5PM",4
"May 15, 2025, 6PM",8
"May 15, 2025, 7PM",0
"May 15, 2025, 8PM",5
"May 15, 2025, 9PM",6
"May 16, 2025, 12AM",5
"May 16, 2025, 6AM",4
"May 16, 2025, 7AM",2
"May 16, 2025, 8AM",1
"May 16, 2025, 12PM",4
"May 16, 2025, 1PM",7
"May 16, 2025, 3PM",1
"May 16, 2025, 4PM",1
"May 16, 2025, 5PM",10
"May 16, 2025, 6PM",4
"May 16, 2025, 8PM",5
"May 16, 2025, 9PM",11
"May 16, 2025, 10PM",1
"May 17, 2025, 3PM",1
"May 18, 2025, 12AM",3
"May 18, 2025, 10AM",5
"May 18, 2025, 11AM",2
"May 18, 2025, 12PM",1
"May 18, 2025, 2PM",1
"May 18, 2025, 5PM",8
"May 18, 2025, 6PM",1
"May 19, 2025, 8AM",1
"May 19, 2025, 9AM",1
"May 19, 2025, 10AM",1
"May 19, 2025, 11AM",1
"May 19, 2025, 12PM",4
"May 19, 2025, 2PM",7
"May 19, 2025, 3PM",2
"May 19, 2025, 4PM",8
"May 19, 2025, 5PM",9
"May 19, 2025, 6PM",3
"May 19, 2025, 9PM",12
"May 19, 2025, 10PM",7
"May 19, 2025, 11PM",5
"May 20, 2025, 4AM",2
"May 20, 2025, 7AM",2
"May 20, 2025, 8AM",6
"May 20, 2025, 9AM",1
"May 20, 2025, 10AM",14
"May 20, 2025, 11AM",7
"May 20, 2025, 12PM",1
"May 20, 2025, 1PM",9
"May 20, 2025, 3PM",6
"May 20, 2025, 4PM",1
"May 20, 2025, 6PM",7
"May 20, 2025, 7PM",5
"May 20, 2025, 11PM",4
"May 21, 2025, 5AM",2
"May 21, 2025, 10AM",3
"May 21, 2025, 2PM",3
"May 21, 2025, 3PM",1
"May 21, 2025, 4PM",6
