Date + hour (YYYYMMDDHH),Views
"Jan 12, 2025, 8AM",481
"Jan 12, 2025, 9AM",473
"Jan 12, 2025, 10AM",463
"Jan 12, 2025, 11AM",455
"Jan 12, 2025, 12PM",519
"Jan 12, 2025, 1PM",595
"Jan 12, 2025, 2PM",493
"Jan 12, 2025, 3PM",589
"Jan 12, 2025, 4PM",573
"Jan 12, 2025, 5PM",636
"Jan 12, 2025, 6PM",613
"Jan 12, 2025, 7PM",847
"Jan 12, 2025, 8PM",886
"Jan 12, 2025, 9PM",897
"Jan 12, 2025, 10PM",605
"Jan 12, 2025, 11PM",308
"Jan 13, 2025, 12AM",129
"Jan 13, 2025, 1AM",85
"Jan 13, 2025, 2AM",68
"Jan 13, 2025, 3AM",81
"Jan 13, 2025, 4AM",81
"Jan 13, 2025, 5AM",123
"Jan 13, 2025, 6AM",401
"Jan 13, 2025, 7AM",322
"Jan 13, 2025, 8AM",434
"Jan 13, 2025, 9AM",577
"Jan 13, 2025, 10AM",610
"Jan 13, 2025, 11AM",627
"Jan 13, 2025, 12PM",584
"Jan 13, 2025, 1PM",836
"Jan 13, 2025, 2PM",652
"Jan 13, 2025, 3PM",675
"Jan 13, 2025, 4PM",564
"Jan 13, 2025, 5PM",599
"Jan 13, 2025, 6PM",699
"Jan 13, 2025, 7PM",749
"Jan 13, 2025, 8PM",855
"Jan 13, 2025, 9PM",755
"Jan 13, 2025, 10PM",435
"Jan 13, 2025, 11PM",263
"Jan 14, 2025, 12AM",145
"Jan 14, 2025, 1AM",90
"Jan 14, 2025, 2AM",88
"Jan 14, 2025, 3AM",82
"Jan 14, 2025, 4AM",76
"Jan 14, 2025, 5AM",163
"Jan 14, 2025, 6AM",200
"Jan 14, 2025, 7AM",384
"Jan 14, 2025, 8AM",447
"Jan 14, 2025, 9AM",635
"Jan 14, 2025, 10AM",771
"Jan 14, 2025, 11AM",718
"Jan 14, 2025, 12PM",543
"Jan 14, 2025, 1PM",704
"Jan 14, 2025, 2PM",623
"Jan 14, 2025, 3PM",682
"Jan 14, 2025, 4PM",541
"Jan 14, 2025, 5PM",688
"Jan 14, 2025, 6PM",646
"Jan 14, 2025, 7PM",538
"Jan 14, 2025, 8PM",651
"Jan 14, 2025, 9PM",658
"Jan 14, 2025, 10PM",461
"Jan 14, 2025, 11PM",249
