Date + hour (YYYYMMDDHH),Views
"Jan 18, 2025, 5AM",101
"Jan 18, 2025, 6AM",137
"Jan 18, 2025, 7AM",212
"Jan 18, 2025, 8AM",409
"Jan 18, 2025, 9AM",514
"Jan 18, 2025, 10AM",726
"Jan 18, 2025, 11AM",880
"Jan 18, 2025, 12PM",727
"Jan 18, 2025, 1PM",830
"Jan 18, 2025, 2PM",740
"Jan 18, 2025, 3PM",766
"Jan 18, 2025, 4PM",773
"Jan 18, 2025, 5PM",967
"Jan 18, 2025, 6PM",964
"Jan 18, 2025, 7PM",1088
"Jan 18, 2025, 8PM",1331
"Jan 18, 2025, 9PM",1591
"Jan 18, 2025, 10PM",1313
"Jan 18, 2025, 11PM",841
"Jan 19, 2025, 12AM",677
"Jan 19, 2025, 1AM",302
"Jan 19, 2025, 2AM",174
"Jan 19, 2025, 3AM",85
"Jan 19, 2025, 4AM",101
"Jan 19, 2025, 5AM",65
"Jan 19, 2025, 6AM",80
"Jan 19, 2025, 7AM",196
"Jan 19, 2025, 8AM",422
"Jan 19, 2025, 9AM",536
"Jan 19, 2025, 10AM",684
"Jan 19, 2025, 11AM",961
"Jan 19, 2025, 12PM",955
"Jan 19, 2025, 1PM",913
"Jan 19, 2025, 2PM",978
"Jan 19, 2025, 3PM",899
"Jan 19, 2025, 4PM",998
"Jan 19, 2025, 5PM",1097
"Jan 19, 2025, 6PM",1236
"Jan 19, 2025, 7PM",1212
"Jan 19, 2025, 8PM",1551
"Jan 19, 2025, 9PM",1404
"Jan 19, 2025, 10PM",1490
"Jan 19, 2025, 11PM",1049
"Jan 20, 2025, 12AM",469
"Jan 20, 2025, 1AM",234
"Jan 20, 2025, 2AM",120
"Jan 20, 2025, 3AM",128
"Jan 20, 2025, 4AM",41
"Jan 20, 2025, 5AM",31
"Jan 20, 2025, 6AM",145
"Jan 20, 2025, 7AM",220
"Jan 20, 2025, 8AM",323
"Jan 20, 2025, 9AM",674
"Jan 20, 2025, 10AM",972
"Jan 20, 2025, 11AM",1010
"Jan 20, 2025, 12PM",1091
"Jan 20, 2025, 1PM",921
"Jan 20, 2025, 2PM",1033
"Jan 20, 2025, 3PM",1104
"Jan 20, 2025, 4PM",1065
"Jan 20, 2025, 5PM",954
"Jan 20, 2025, 6PM",978
"Jan 20, 2025, 7PM",993
"Jan 20, 2025, 8PM",1121
"Jan 20, 2025, 9PM",1287
"Jan 20, 2025, 10PM",1052
"Jan 20, 2025, 11PM",845
"Jan 21, 2025, 12AM",411
"Jan 21, 2025, 1AM",319
"Jan 21, 2025, 2AM",132
"Jan 21, 2025, 3AM",104
"Jan 21, 2025, 4AM",101
"Jan 21, 2025, 5AM",105
"Jan 21, 2025, 6AM",107
"Jan 21, 2025, 7AM",240
"Jan 21, 2025, 8AM",574
"Jan 21, 2025, 9AM",645
"Jan 21, 2025, 10AM",726
"Jan 21, 2025, 11AM",1017
"Jan 21, 2025, 12PM",984
"Jan 21, 2025, 1PM",995
"Jan 21, 2025, 2PM",1031
"Jan 21, 2025, 3PM",1057
"Jan 21, 2025, 4PM",1187
"Jan 21, 2025, 5PM",1157
"Jan 21, 2025, 6PM",922
"Jan 21, 2025, 7PM",805
"Jan 21, 2025, 8PM",867
"Jan 21, 2025, 9PM",1024
"Jan 21, 2025, 10PM",1078
"Jan 21, 2025, 11PM",768
"Jan 22, 2025, 12AM",476
"Jan 22, 2025, 1AM",250
"Jan 22, 2025, 2AM",185
"Jan 22, 2025, 3AM",94
"Jan 22, 2025, 4AM",82
"Jan 22, 2025, 5AM",117
"Jan 22, 2025, 6AM",147
"Jan 22, 2025, 7AM",223
"Jan 22, 2025, 8AM",544
"Jan 22, 2025, 9AM",746
"Jan 22, 2025, 10AM",835
"Jan 22, 2025, 11AM",1143
"Jan 22, 2025, 12PM",1012
"Jan 22, 2025, 1PM",1020
"Jan 22, 2025, 2PM",942
"Jan 22, 2025, 3PM",1329
"Jan 22, 2025, 4PM",1175
"Jan 22, 2025, 5PM",1117
"Jan 22, 2025, 6PM",1031
"Jan 22, 2025, 7PM",1001
"Jan 22, 2025, 8PM",1008
"Jan 22, 2025, 9PM",1525
"Jan 22, 2025, 10PM",1081
"Jan 22, 2025, 11PM",725
"Jan 23, 2025, 12AM",602
"Jan 23, 2025, 1AM",249
"Jan 23, 2025, 2AM",146
"Jan 23, 2025, 3AM",132
"Jan 23, 2025, 4AM",131
"Jan 23, 2025, 5AM",195
"Jan 23, 2025, 6AM",141
"Jan 23, 2025, 7AM",249
"Jan 23, 2025, 8AM",476
"Jan 23, 2025, 9AM",794
"Jan 23, 2025, 10AM",921
"Jan 23, 2025, 11AM",1253
"Jan 23, 2025, 12PM",1094
"Jan 23, 2025, 1PM",1050
"Jan 23, 2025, 2PM",1144
"Jan 23, 2025, 3PM",1215
"Jan 23, 2025, 4PM",1059
"Jan 23, 2025, 5PM",992
"Jan 23, 2025, 6PM",885
"Jan 23, 2025, 7PM",980
"Jan 23, 2025, 8PM",1219
"Jan 23, 2025, 9PM",1319
"Jan 23, 2025, 10PM",1094
"Jan 23, 2025, 11PM",995
"Jan 24, 2025, 12AM",527
"Jan 24, 2025, 1AM",263
"Jan 24, 2025, 2AM",244
"Jan 24, 2025, 3AM",164
"Jan 24, 2025, 4AM",189
"Jan 24, 2025, 5AM",195
"Jan 24, 2025, 6AM",271
"Jan 24, 2025, 7AM",381
"Jan 24, 2025, 8AM",606
"Jan 24, 2025, 9AM",888
"Jan 24, 2025, 10AM",913
"Jan 24, 2025, 11AM",1015
"Jan 24, 2025, 12PM",1050
"Jan 24, 2025, 1PM",993
"Jan 24, 2025, 2PM",977
"Jan 24, 2025, 3PM",992
"Jan 24, 2025, 4PM",974
"Jan 24, 2025, 5PM",972
"Jan 24, 2025, 6PM",949
"Jan 24, 2025, 7PM",1118
"Jan 24, 2025, 8PM",1028
"Jan 24, 2025, 9PM",1099
"Jan 24, 2025, 10PM",1243
"Jan 24, 2025, 11PM",861
"Jan 25, 2025, 12AM",512
"Jan 25, 2025, 1AM",269
"Jan 25, 2025, 2AM",165
"Jan 25, 2025, 3AM",124
"Jan 25, 2025, 4AM",116
"Jan 25, 2025, 5AM",112
"Jan 25, 2025, 6AM",121
"Jan 25, 2025, 7AM",342
"Jan 25, 2025, 8AM",539
"Jan 25, 2025, 9AM",683
"Jan 25, 2025, 10AM",701
"Jan 25, 2025, 11AM",791
"Jan 25, 2025, 12PM",748
"Jan 25, 2025, 1PM",914
"Jan 25, 2025, 2PM",946
"Jan 25, 2025, 3PM",909
"Jan 25, 2025, 4PM",836
"Jan 25, 2025, 5PM",1032
"Jan 25, 2025, 6PM",1066
"Jan 25, 2025, 7PM",1104
"Jan 25, 2025, 8PM",1100
"Jan 25, 2025, 9PM",1100
"Jan 25, 2025, 10PM",1281
"Jan 25, 2025, 11PM",930
"Jan 26, 2025, 12AM",620
"Jan 26, 2025, 1AM",380
"Jan 26, 2025, 2AM",241
"Jan 26, 2025, 3AM",120
"Jan 26, 2025, 4AM",119
"Jan 26, 2025, 5AM",77
"Jan 26, 2025, 6AM",114
"Jan 26, 2025, 7AM",259
"Jan 26, 2025, 8AM",472
"Jan 26, 2025, 9AM",578
"Jan 26, 2025, 10AM",749
"Jan 26, 2025, 11AM",939
"Jan 26, 2025, 12PM",985
"Jan 26, 2025, 1PM",828
"Jan 26, 2025, 2PM",1025
"Jan 26, 2025, 3PM",1055
"Jan 26, 2025, 4PM",1066
"Jan 26, 2025, 5PM",1121
"Jan 26, 2025, 6PM",1049
"Jan 26, 2025, 7PM",944
"Jan 26, 2025, 8PM",1361
"Jan 26, 2025, 9PM",1258
"Jan 26, 2025, 10PM",1251
"Jan 26, 2025, 11PM",785
"Jan 27, 2025, 12AM",558
"Jan 27, 2025, 1AM",263
"Jan 27, 2025, 2AM",109
"Jan 27, 2025, 3AM",61
"Jan 27, 2025, 4AM",75
"Jan 27, 2025, 5AM",76
"Jan 27, 2025, 6AM",90
"Jan 27, 2025, 7AM",283
"Jan 27, 2025, 8AM",532
"Jan 27, 2025, 9AM",658
"Jan 27, 2025, 10AM",979
"Jan 27, 2025, 11AM",1145
"Jan 27, 2025, 12PM",973
"Jan 27, 2025, 1PM",963
"Jan 27, 2025, 2PM",1070
"Jan 27, 2025, 3PM",1189
"Jan 27, 2025, 4PM",1062
"Jan 27, 2025, 5PM",1284
"Jan 27, 2025, 6PM",1043
"Jan 27, 2025, 7PM",938
"Jan 27, 2025, 8PM",912
"Jan 27, 2025, 9PM",1279
"Jan 27, 2025, 10PM",992
"Jan 27, 2025, 11PM",856
"Jan 28, 2025, 12AM",497
"Jan 28, 2025, 1AM",219
"Jan 28, 2025, 2AM",144
"Jan 28, 2025, 3AM",131
"Jan 28, 2025, 4AM",114
"Jan 28, 2025, 5AM",93
"Jan 28, 2025, 6AM",196
"Jan 28, 2025, 7AM",343
"Jan 28, 2025, 8AM",569
"Jan 28, 2025, 9AM",758
"Jan 28, 2025, 10AM",914
"Jan 28, 2025, 11AM",923
"Jan 28, 2025, 12PM",1116
"Jan 28, 2025, 1PM",989
"Jan 28, 2025, 2PM",1010
"Jan 28, 2025, 3PM",1014
"Jan 28, 2025, 4PM",1125
"Jan 28, 2025, 5PM",1055
"Jan 28, 2025, 6PM",1046
"Jan 28, 2025, 7PM",938
"Jan 28, 2025, 8PM",1110
"Jan 28, 2025, 9PM",1364
"Jan 28, 2025, 10PM",1117
"Jan 28, 2025, 11PM",762
"Jan 29, 2025, 12AM",537
"Jan 29, 2025, 1AM",245
"Jan 29, 2025, 2AM",97
"Jan 29, 2025, 3AM",104
"Jan 29, 2025, 4AM",103
"Jan 29, 2025, 5AM",107
"Jan 29, 2025, 6AM",186
"Jan 29, 2025, 7AM",295
"Jan 29, 2025, 8AM",547
"Jan 29, 2025, 9AM",764
"Jan 29, 2025, 10AM",897
"Jan 29, 2025, 11AM",1081
"Jan 29, 2025, 12PM",1007
"Jan 29, 2025, 1PM",1010
"Jan 29, 2025, 2PM",959
"Jan 29, 2025, 3PM",1193
"Jan 29, 2025, 4PM",1193
"Jan 29, 2025, 5PM",971
"Jan 29, 2025, 6PM",1077
"Jan 29, 2025, 7PM",782
"Jan 29, 2025, 8PM",854
"Jan 29, 2025, 9PM",948
"Jan 29, 2025, 10PM",980
"Jan 29, 2025, 11PM",889
"Jan 30, 2025, 12AM",591
"Jan 30, 2025, 1AM",229
"Jan 30, 2025, 2AM",153
"Jan 30, 2025, 3AM",132
