Date + hour (YYYYMMDDHH),Views
"Jan 14, 2025, 6AM",76
"Jan 14, 2025, 7AM",152
"Jan 14, 2025, 8AM",372
"Jan 14, 2025, 9AM",450
"Jan 14, 2025, 10AM",815
"Jan 14, 2025, 11AM",687
"Jan 14, 2025, 12PM",890
"Jan 14, 2025, 1PM",702
"Jan 14, 2025, 2PM",885
"Jan 14, 2025, 3PM",826
"Jan 14, 2025, 4PM",1003
"Jan 14, 2025, 5PM",875
"Jan 14, 2025, 6PM",641
"Jan 14, 2025, 7PM",677
"Jan 14, 2025, 8PM",562
"Jan 14, 2025, 9PM",864
"Jan 14, 2025, 10PM",889
"Jan 14, 2025, 11PM",622
"Jan 15, 2025, 12AM",419
"Jan 15, 2025, 1AM",142
"Jan 15, 2025, 2AM",66
"Jan 15, 2025, 3AM",38
"Jan 15, 2025, 4AM",53
"Jan 15, 2025, 5AM",33
"Jan 15, 2025, 6AM",87
"Jan 15, 2025, 7AM",112
"Jan 15, 2025, 8AM",273
"Jan 15, 2025, 9AM",489
"Jan 15, 2025, 10AM",581
"Jan 15, 2025, 11AM",801
"Jan 15, 2025, 12PM",725
"Jan 15, 2025, 1PM",598
"Jan 15, 2025, 2PM",808
"Jan 15, 2025, 3PM",700
"Jan 15, 2025, 4PM",714
"Jan 15, 2025, 5PM",920
"Jan 15, 2025, 6PM",848
"Jan 15, 2025, 7PM",740
"Jan 15, 2025, 8PM",705
"Jan 15, 2025, 9PM",933
"Jan 15, 2025, 10PM",801
"Jan 15, 2025, 11PM",875
"Jan 16, 2025, 12AM",325
"Jan 16, 2025, 1AM",183
"Jan 16, 2025, 2AM",91
"Jan 16, 2025, 3AM",53
"Jan 16, 2025, 4AM",24
"Jan 16, 2025, 5AM",52
"Jan 16, 2025, 6AM",135
"Jan 16, 2025, 7AM",105
"Jan 16, 2025, 8AM",353
"Jan 16, 2025, 9AM",524
"Jan 16, 2025, 10AM",504
"Jan 16, 2025, 11AM",675
"Jan 16, 2025, 12PM",681
"Jan 16, 2025, 1PM",580
"Jan 16, 2025, 2PM",849
"Jan 16, 2025, 3PM",882
"Jan 16, 2025, 4PM",840
"Jan 16, 2025, 5PM",666
"Jan 16, 2025, 6PM",801
"Jan 16, 2025, 7PM",756
"Jan 16, 2025, 8PM",643
"Jan 16, 2025, 9PM",893
"Jan 16, 2025, 10PM",712
"Jan 16, 2025, 11PM",687
"Jan 17, 2025, 12AM",247
"Jan 17, 2025, 1AM",182
"Jan 17, 2025, 2AM",58
"Jan 17, 2025, 3AM",29
"Jan 17, 2025, 4AM",21
"Jan 17, 2025, 5AM",20
"Jan 17, 2025, 6AM",45
"Jan 17, 2025, 7AM",98
"Jan 17, 2025, 8AM",224
"Jan 17, 2025, 9AM",614
"Jan 17, 2025, 10AM",846
"Jan 17, 2025, 11AM",696
"Jan 17, 2025, 12PM",814
"Jan 17, 2025, 1PM",530
"Jan 17, 2025, 2PM",690
"Jan 17, 2025, 3PM",689
"Jan 17, 2025, 4PM",759
"Jan 17, 2025, 5PM",817
"Jan 17, 2025, 6PM",690
"Jan 17, 2025, 7PM",697
"Jan 17, 2025, 8PM",663
"Jan 17, 2025, 9PM",817
"Jan 17, 2025, 10PM",774
"Jan 17, 2025, 11PM",600
"Jan 18, 2025, 12AM",438
"Jan 18, 2025, 1AM",307
"Jan 18, 2025, 2AM",119
"Jan 18, 2025, 3AM",98
"Jan 18, 2025, 4AM",116
"Jan 18, 2025, 5AM",70
"Jan 18, 2025, 6AM",70
"Jan 18, 2025, 7AM",106
"Jan 18, 2025, 8AM",268
"Jan 18, 2025, 9AM",375
"Jan 18, 2025, 10AM",583
"Jan 18, 2025, 11AM",480
"Jan 18, 2025, 12PM",487
"Jan 18, 2025, 1PM",512
"Jan 18, 2025, 2PM",647
"Jan 18, 2025, 3PM",616
"Jan 18, 2025, 4PM",679
"Jan 18, 2025, 5PM",631
"Jan 18, 2025, 6PM",741
"Jan 18, 2025, 7PM",869
"Jan 18, 2025, 8PM",910
"Jan 18, 2025, 9PM",1096
"Jan 18, 2025, 10PM",889
"Jan 18, 2025, 11PM",556
"Jan 19, 2025, 12AM",485
"Jan 19, 2025, 1AM",312
"Jan 19, 2025, 2AM",213
"Jan 19, 2025, 3AM",99
"Jan 19, 2025, 4AM",36
"Jan 19, 2025, 5AM",100
"Jan 19, 2025, 6AM",62
"Jan 19, 2025, 7AM",133
"Jan 19, 2025, 8AM",312
"Jan 19, 2025, 9AM",494
"Jan 19, 2025, 10AM",569
"Jan 19, 2025, 11AM",579
"Jan 19, 2025, 12PM",830
"Jan 19, 2025, 1PM",662
"Jan 19, 2025, 2PM",903
"Jan 19, 2025, 3PM",617
"Jan 19, 2025, 4PM",840
"Jan 19, 2025, 5PM",766
"Jan 19, 2025, 6PM",1006
"Jan 19, 2025, 7PM",975
"Jan 19, 2025, 8PM",959
"Jan 19, 2025, 9PM",1017
"Jan 19, 2025, 10PM",866
"Jan 19, 2025, 11PM",756
"Jan 20, 2025, 12AM",520
"Jan 20, 2025, 1AM",209
"Jan 20, 2025, 2AM",131
"Jan 20, 2025, 3AM",109
"Jan 20, 2025, 4AM",88
"Jan 20, 2025, 5AM",46
"Jan 20, 2025, 6AM",64
"Jan 20, 2025, 7AM",160
"Jan 20, 2025, 8AM",361
"Jan 20, 2025, 9AM",443
"Jan 20, 2025, 10AM",591
"Jan 20, 2025, 11AM",867
"Jan 20, 2025, 12PM",600
"Jan 20, 2025, 1PM",847
"Jan 20, 2025, 2PM",735
"Jan 20, 2025, 3PM",853
"Jan 20, 2025, 4PM",899
"Jan 20, 2025, 5PM",959
"Jan 20, 2025, 6PM",921
"Jan 20, 2025, 7PM",1085
"Jan 20, 2025, 8PM",870
"Jan 20, 2025, 9PM",1088
"Jan 20, 2025, 10PM",1124
"Jan 20, 2025, 11PM",767
"Jan 21, 2025, 12AM",419
"Jan 21, 2025, 1AM",152
"Jan 21, 2025, 2AM",155
"Jan 21, 2025, 3AM",73
"Jan 21, 2025, 4AM",119
"Jan 21, 2025, 5AM",84
"Jan 21, 2025, 6AM",110
"Jan 21, 2025, 7AM",136
"Jan 21, 2025, 8AM",284
"Jan 21, 2025, 9AM",586
"Jan 21, 2025, 10AM",671
"Jan 21, 2025, 11AM",676
"Jan 21, 2025, 12PM",680
"Jan 21, 2025, 1PM",873
"Jan 21, 2025, 2PM",938
"Jan 21, 2025, 3PM",878
"Jan 21, 2025, 4PM",876
"Jan 21, 2025, 5PM",871
"Jan 21, 2025, 6PM",670
"Jan 21, 2025, 7PM",884
"Jan 21, 2025, 8PM",592
"Jan 21, 2025, 9PM",741
"Jan 21, 2025, 10PM",920
"Jan 21, 2025, 11PM",759
"Jan 22, 2025, 12AM",356
"Jan 22, 2025, 1AM",370
"Jan 22, 2025, 2AM",108
"Jan 22, 2025, 3AM",84
