Date + hour (YYYYMMDDHH),Views
"Sep 14, 2025, 11PM",1
"Sep 15, 2025, 12AM",3
"Sep 15, 2025, 5AM",3
"Sep 15, 2025, 7AM",0
"Sep 15, 2025, 8AM",8
"Sep 15, 2025, 9AM",5
"Sep 15, 2025, 10AM",2
"Sep 15, 2025, 11AM",3
"Sep 15, 2025, 12PM",0
"Sep 15, 2025, 1PM",6
"Sep 15, 2025, 2PM",1
"Sep 15, 2025, 5PM",2
"Sep 15, 2025, 7PM",1
"Sep 15, 2025, 8PM",2
"Sep 15, 2025, 10PM",1
"Sep 16, 2025, 8AM",2
"Sep 16, 2025, 2PM",1
"Sep 16, 2025, 9PM",1
"Sep 16, 2025, 10PM",3
"Sep 17, 2025, 6AM",2
"Sep 17, 2025, 8AM",1
"Sep 17, 2025, 9AM",1
"Sep 17, 2025, 10AM",4
"Sep 17, 2025, 11AM",16
"Sep 17, 2025, 12PM",5
"Sep 17, 2025, 1PM",3
"Sep 17, 2025, 2PM",1
"Sep 17, 2025, 5PM",1
"Sep 17, 2025, 6PM",1
"Sep 17, 2025, 8PM",1
"Sep 17, 2025, 9PM",3
"Sep 17, 2025, 10PM",4
"Sep 17, 2025, 11PM",3
"Sep 18, 2025, 12AM",4
"Sep 18, 2025, 1AM",6
"Sep 18, 2025, 3AM",2
"Sep 18, 2025, 4AM",1
"Sep 18, 2025, 5AM",2
"Sep 18, 2025, 6AM",5
"Sep 18, 2025, 9AM",6
"Sep 18, 2025, 10AM",1
"Sep 18, 2025, 1PM",0
"Sep 18, 2025, 2PM",3
"Sep 18, 2025, 4PM",2
"Sep 18, 2025, 6PM",5
"Sep 18, 2025, 7PM",3
"Sep 18, 2025, 9PM",1
"Sep 18, 2025, 10PM",4
"Sep 18, 2025, 11PM",4
"Sep 19, 2025, 12AM",2
"Sep 19, 2025, 6AM",5
"Sep 19, 2025, 9AM",2
"Sep 19, 2025, 10AM",1
"Sep 19, 2025, 11AM",9
"Sep 19, 2025, 12PM",8
"Sep 19, 2025, 1PM",2
