Date + hour (YYYYMMDDHH),Views
"Jan 16, 2025, 11AM",73
"Jan 16, 2025, 12PM",66
"Jan 16, 2025, 1PM",46
"Jan 16, 2025, 2PM",97
"Jan 16, 2025, 3PM",126
"Jan 16, 2025, 4PM",168
"Jan 16, 2025, 5PM",151
"Jan 16, 2025, 6PM",115
"Jan 16, 2025, 7PM",121
"Jan 16, 2025, 8PM",146
"Jan 16, 2025, 9PM",118
"Jan 16, 2025, 10PM",72
"Jan 16, 2025, 11PM",52
"Jan 17, 2025, 12AM",14
"Jan 17, 2025, 1AM",2
"Jan 17, 2025, 2AM",11
"Jan 17, 2025, 3AM",8
"Jan 17, 2025, 4AM",1
"Jan 17, 2025, 5AM",1
"Jan 17, 2025, 6AM",25
"Jan 17, 2025, 7AM",44
"Jan 17, 2025, 8AM",82
"Jan 17, 2025, 9AM",83
"Jan 17, 2025, 10AM",102
"Jan 17, 2025, 11AM",69
"Jan 17, 2025, 12PM",54
"Jan 17, 2025, 1PM",97
"Jan 17, 2025, 2PM",73
"Jan 17, 2025, 3PM",56
"Jan 17, 2025, 4PM",67
"Jan 17, 2025, 5PM",67
"Jan 17, 2025, 6PM",81
"Jan 17, 2025, 7PM",58
"Jan 17, 2025, 8PM",82
"Jan 17, 2025, 9PM",104
"Jan 17, 2025, 10PM",61
"Jan 17, 2025, 11PM",31
"Jan 18, 2025, 12AM",29
"Jan 18, 2025, 1AM",10
"Jan 18, 2025, 2AM",6
"Jan 18, 2025, 3AM",12
"Jan 18, 2025, 4AM",13
"Jan 18, 2025, 5AM",21
"Jan 18, 2025, 6AM",7
"Jan 18, 2025, 7AM",42
"Jan 18, 2025, 8AM",75
"Jan 18, 2025, 9AM",53
"Jan 18, 2025, 10AM",49
"Jan 18, 2025, 11AM",62
"Jan 18, 2025, 12PM",86
"Jan 18, 2025, 1PM",86
"Jan 18, 2025, 2PM",84
"Jan 18, 2025, 3PM",54
"Jan 18, 2025, 4PM",54
"Jan 18, 2025, 5PM",90
"Jan 18, 2025, 6PM",92
"Jan 18, 2025, 7PM",77
"Jan 18, 2025, 8PM",173
"Jan 18, 2025, 9PM",85
"Jan 18, 2025, 10PM",71
"Jan 18, 2025, 11PM",29
"Jan 19, 2025, 12AM",11
"Jan 19, 2025, 1AM",28
